French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
aucun,no
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
parle,speak
attention,Warning
voici,here is
affaire,case
type,type
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
perdu,lost
main,hand
côté,side
vieux,old
matin,morning
enfant,child
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
aura,will have
